Year,UMCSI,VIX,PMI,SPDirection
2000,111.3,23.370001,1,Down
2000,107.1,24.110001,1,Up
2000,109.2,26.200001,1,Down
2000,110.7,23.65,1,Down
2000,106.4,19.540001,1,Up
2000,108.3,20.74,1,Down
2000,107.3,16.84,1,Up
2000,106.8,20.57,0,Down
2000,105.8,23.629999,0,Down
2000,107.6,29.65,0,Down
2000,98.4,26.85,0,Up
2000,94.7,22.02,0,Up
2001,90.6,28.35,0,Down
2001,91.5,28.639999,0,Down
2001,88.4,25.48,0,Up
2001,92,22.639999,0,Up
2001,92.6,19.059999,0,Down
2001,92.4,21.620001,0,Down
2001,91.5,24.92,0,Down
2001,81.8,31.93,0,Down
2001,82.7,33.560001,0,Up
2001,83.9,23.84,0,Up
2001,88.8,23.799999,0,Up
2001,93,21.09,0,Down
2002,90.7,21.59,0,Down
2002,95.7,17.4,1,Up
2002,93,21.91,1,Down
2002,96.9,19.98,1,Down
2002,92.4,25.4,1,Down
2002,88.1,32.029999,1,Down
2002,87.6,32.639999,1,Up
2002,86.1,39.689999,1,Down
2002,80.6,31.139999,1,Up
2002,84.2,27.5,0,Up
2002,86.7,28.620001,0,Down
2002,82.4,31.17,1,Down
2003,79.9,29.629999,1,Down
2003,77.6,29.15,0,Up
2003,86,21.209999,0,Up
2003,92.1,19.469999,0,Up
2003,89.7,19.52,0,Up
2003,90.9,19.49,0,Up
2003,89.3,18.629999,1,Up
2003,87.7,22.719999,1,Down
2003,89.6,16.1,1,Up
2003,93.7,16.32,1,Up
2003,92.6,18.309999,1,Up
2003,103.8,16.629999,1,Up
2004,94.4,14.55,1,Up
2004,95.8,16.74,1,Down
2004,94.2,17.190001,1,Down
2004,90.2,15.5,1,Up
2004,95.6,14.34,1,Up
2004,96.7,15.32,1,Down
2004,95.9,15.29,1,Up
2004,94.2,13.34,1,Up
2004,91.7,16.27,1,Up
2004,92.8,13.24,1,Up
2004,97.1,13.29,1,Up
2004,95.5,12.82,1,Down
2005,94.1,12.08,1,Up
2005,92.6,14.02,1,Down
2005,87.7,15.31,1,Down
2005,86.9,13.29,1,Up
2005,96,12.04,1,Down
2005,96.5,11.57,1,Up
2005,89.1,12.6,1,Down
2005,76.9,11.92,1,Up
2005,74.2,15.32,1,Down
2005,81.6,12.06,1,Up
